nr	Author	IMR-Sage	REMP-Staatsdrukkerij	IM-Wiley	Dutch_Government	ICEM	REMP	Overlap_IMR_IM
373	Chin, R	0.00	0.00	1.00	0.00	0.00	0.00	0
374	Chinchilla, N	0.00	0.00	1.00	0.00	0.00	0.00	0
375	Chirwa, W	1.00	0.00	0.00	0.00	0.00	0.00	0
376	Chiswick, B	5.00	0.00	0.00	0.00	0.00	0.00	0
377	Chiswick, C	1.00	0.00	1.00	0.00	0.00	0.00	1
378	Chitose, Y	1.00	0.00	0.00	0.00	0.00	0.00	0
379	Choldin, H	2.00	0.00	0.00	0.00	0.00	0.00	0
380	Choquette, L	2.00	0.00	0.00	0.00	0.00	0.00	0
381	Chorbajian, L	1.00	0.00	0.00	0.00	0.00	0.00	0
382	Choucri, N	3.00	0.00	0.00	0.00	0.00	0.00	0
383	Christian, C	1.00	0.00	0.00	0.00	0.00	0.00	0
384	Christiansen, S	1.00	0.00	0.00	0.00	0.00	0.00	0
385	Christine, M	1.00	0.00	0.00	0.00	0.00	0.00	0
386	Chudacoff, H	1.00	0.00	0.00	0.00	0.00	0.00	0
